idx	gene_id	task_id	system	subsystem	reactions
772	DLAT	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0555
773	DLAT	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0555
774	PDHA1	3	ENERGY METABOLISM	KREBS CYCLE	PDHm|r0383
775	PDHA1	5	ENERGY METABOLISM	ATP GENERATION	PDHm|r0383
776	PDHA1	52	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
777	PDHA1	53	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
778	PDHA1	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	PDHm|r0383
779	PDHA1	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	PDHm|r0383
780	PDHA1	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	PDHm|r0383
781	PDHA1	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	PDHm|r0383
782	PDHA1	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	PDHm|r0383
783	PDHA1	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
784	PDHA1	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
785	PDHA1	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
786	PDHA1	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
787	PDHA2	3	ENERGY METABOLISM	KREBS CYCLE	PDHm|r0383
788	PDHA2	5	ENERGY METABOLISM	ATP GENERATION	PDHm|r0383
789	PDHA2	52	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
790	PDHA2	53	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
791	PDHA2	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	PDHm|r0383
792	PDHA2	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	PDHm|r0383
793	PDHA2	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	PDHm|r0383
794	PDHA2	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	PDHm|r0383
795	PDHA2	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	PDHm|r0383
796	PDHA2	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
797	PDHA2	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
798	PDHA2	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
799	PDHA2	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
